City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
139,Namibe,AO,2022-10-01 17:52:32,-15.1961,12.1522,294.5,83,75,5.66,broken clouds
140,Conchal,BR,2022-10-01 17:52:32,-22.3303,-47.1725,301.24,61,89,2.94,overcast clouds
141,Mirabad,AF,2022-10-01 17:52:33,30.4362,61.8383,299.28,19,0,9.82,clear sky
142,Karema,TZ,2022-10-01 17:52:33,-6.8205,30.4389,300.04,46,85,2.38,overcast clouds
143,Port Elizabeth,ZA,2022-10-01 17:52:33,-33.918,25.5701,289.87,89,20,2.57,few clouds
144,Iralaya,HN,2022-10-01 17:52:34,15.0,-83.2333,301.17,78,100,5.79,overcast clouds
145,Sorland,NO,2022-10-01 17:52:34,67.667,12.6934,284.07,63,24,5.35,few clouds
146,Vila Velha,BR,2022-10-01 17:52:35,-20.3297,-40.2925,298.12,75,75,5.66,broken clouds
147,Hualmay,PE,2022-10-01 17:52:35,-11.0964,-77.6139,293.21,69,39,5.33,scattered clouds
148,Kalmunai,LK,2022-10-01 17:52:36,7.4167,81.8167,300.87,70,94,2.81,overcast clouds
149,Vangaindrano,MG,2022-10-01 17:52:36,-23.35,47.6,293.08,82,10,2.58,clear sky
150,Georgetown,MY,2022-10-01 17:50:07,5.4112,100.3354,299.11,90,40,3.6,scattered clouds
151,Muros,ES,2022-10-01 17:52:37,42.7762,-9.0603,292.64,82,78,0.27,broken clouds
152,Souillac,MU,2022-10-01 17:52:37,-20.5167,57.5167,294.36,83,75,3.09,broken clouds
153,Tucano,BR,2022-10-01 17:52:38,-10.9631,-38.7867,304.47,39,46,5.62,scattered clouds
154,Les Cayes,HT,2022-10-01 17:52:38,18.2,-73.75,302.0,71,96,4.04,overcast clouds
155,Paamiut,GL,2022-10-01 17:52:39,61.994,-49.6678,275.51,96,100,7.69,overcast clouds
156,Iqaluit,CA,2022-10-01 17:52:39,63.7506,-68.5145,274.0,64,40,10.8,scattered clouds
157,General Pico,AR,2022-10-01 17:52:40,-35.6566,-63.7568,301.34,16,100,3.41,overcast clouds
158,Hamilton,US,2022-10-01 17:52:40,39.1834,-84.5333,296.07,40,0,7.2,clear sky
159,Tekkali,IN,2022-10-01 17:52:40,18.6167,84.2333,299.01,82,55,2.2,broken clouds
160,Menongue,AO,2022-10-01 17:52:41,-14.6585,17.691,297.89,14,11,2.55,few clouds
161,Lithakia,GR,2022-10-01 17:52:41,37.7167,20.8333,300.8,89,80,5.14,broken clouds
162,Mangan,IN,2022-10-01 17:52:42,27.5167,88.5333,294.32,80,10,2.53,clear sky
163,Marau,BR,2022-10-01 17:52:01,-28.4492,-52.2,295.12,59,54,3.1,broken clouds
